web-scraper-order,web-scraper-start-url,paginator,brand-name
"1647964230-37","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=2","Atlantic Folk"
"1647964257-155","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=8","Megan Claire"
"1647964244-103","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=5","MOA - Magic Organic Apothecary"
"1647964226-11","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","","Artkulture Limited"
"1647964234-63","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=3","MAHI Leather"
"1647964234-57","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=3","À L'AISE LTD"
"1647964248-131","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=6","The Personalised Stationery Company Ltd"
"1647964248-115","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=6","Deadpan"
"1647964253-142","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=7","Welovemanfood Ltd"
"1647964230-40","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=2","Donna Wilson"
"1647964261-170","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=9","Posh Brats"
"1647964261-169","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=9","Sarah Hurley"
"1647964248-112","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=6","Bookishly"
"1647964230-29","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=2","ESA EVANS"
"1647964226-20","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","","Mother Nature’s Recipes"
"1647964230-44","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=2","Jenny Robson Design"
"1647964265-177","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=10","Our Lovely Goods"
"1647964230-36","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=2","Luckies of London"
"1647964238-80","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=4","Eloise Hall Ltd."
"1647964230-24","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=2","Stuart Gardiner Design"
"1647964244-89","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=5","LOLA+BLAKE"
"1647964234-50","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=3","Três Paper Co"
"1647964248-114","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=6","Cool Trade Winds"
"1647964265-176","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=10","Earl of East"
"1647964238-88","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=4","Lisa Angel"
"1647964230-39","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=2","Old English Company"
"1647964234-45","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=3","IMOGEN OWEN"
"1647964234-64","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=3","Upward Salute"
"1647964253-150","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=7","Beauty Scents Ltd."
