,web-scraper-order,web-scraper-start-url,paginator,brand-name,Website
0,1647860153-1412,https://www.faire.com/category/Paper%20&%20Novelty/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,https://www.faire.com/category/Paper%20&%20Novelty/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=3,Shake it Baby,https://www.youtube.com/watch?v=N6Vekkw3kbE
1,1647860156-1414,https://www.faire.com/category/Paper%20&%20Novelty/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,https://www.faire.com/category/Paper%20&%20Novelty/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=4,HappySoaps,https://thehappysoaps.com/
2,1647860144-1408,https://www.faire.com/category/Paper%20&%20Novelty/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,,Teddy's,https://www.teddysbb.com/
3,1647860144-1409,https://www.faire.com/category/Paper%20&%20Novelty/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,,Chewies & more,https://www.chewiesandmore.com/
4,1647860148-1411,https://www.faire.com/category/Paper%20&%20Novelty/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,https://www.faire.com/category/Paper%20&%20Novelty/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=2,lm baby art,https://lmbabyart.nl/
5,1647860153-1413,https://www.faire.com/category/Paper%20&%20Novelty/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,https://www.faire.com/category/Paper%20&%20Novelty/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=3,STUDIOZWAANSTRAAT,https://studiozwaanstraat.nl/
6,1647860156-1415,https://www.faire.com/category/Paper%20&%20Novelty/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,https://www.faire.com/category/Paper%20&%20Novelty/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=4,Maison Maps,https://maisonmaps.com/
7,1647860148-1410,https://www.faire.com/category/Paper%20&%20Novelty/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,https://www.faire.com/category/Paper%20&%20Novelty/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=2,Berben Design,https://www.berbendesign.com/
