,web-scraper-order,web-scraper-start-url,paginator,brand-name,Website
23,1647862811-1474,https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=2,Vinoos,https://vinoos.nl/en/
24,1647862808-1455,https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,,Kumasi Drinks,https://kumasi-drinks.nl/
25,1647862808-1452,https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,,Celebrate What You Eat,https://www.celebratewhatyoueat.com/
26,1647862808-1454,https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,,The Big Gifts,https://thebiggifts.com/nl/
27,1647862808-1449,https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,,The High Five Company,https://www.thehighfivecompany.com/
28,1647862808-1459,https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,,Bakselz. & Borrelz. B.V.,https://drimble.nl/bedrijf/s-heerenbroek/51091127/bakselz-borrelz-bv.html
29,1647862808-1462,https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,,Rollin' Rainbows,https://www.rollinrainbows.com/
30,1647862811-1483,https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=2,Dutch Tea Maestro,https://dutchteamaestro.com/
31,1647862811-1484,https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=2,Raw Nutrition Africa,https://www.faire.com/brand/b_xbfp33jrt4
32,1647862811-1472,https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=2,Heketa,https://www.newgrounds.com/portal/view/821222
33,1647862808-1456,https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,,SAPINCA,https://sapinca.com/
34,1647862808-1460,https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,,Real Good Food,https://realgoodfoods.com/
35,1647862808-1458,https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,,HUSH HUSH Hot Sauce,https://hushhushhotsauce.com/
36,1647862808-1445,https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,,Moments,https://www.youtube.com/watch?v=pL7GE4-VqqQ
37,1647862811-1468,https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=2,Tyro Cosmetics,https://www.tyro-cosmetics.com/en/
38,1647862811-1464,https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=2,BIRAMBI,https://www.faire.com/brand/b_6blztrl6cy
39,1647862808-1450,https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,,Royal T-Stick,https://www.amazon.com/Royal-T-Stick-Tea-Lemon-Count/product-reviews/B071S2PSKG?reviewerType=all_reviews
40,1647862811-1477,https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=2,SUPP24,https://supp24.eu/
41,1647862808-1443,https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,,Moto Coffee,https://cafemoto.com/
42,1647862811-1469,https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=2,Natural Temptation,https://naturaltemptation.com.au/
43,1647862811-1473,https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=2,Blue Monday Coffee,https://gbmcoffee.com/
