,web-scraper-order,web-scraper-start-url,Paginator,productPage,productPage-href,instagramHandles
59,1648112808-23,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=2,Wellmark,https://www.faire.com/brand/b_cyj7xj4m8h?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@Wellmark.nl
60,1648112828-97,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=6,Pompelmoes,https://www.faire.com/brand/b_3n27qpngye?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@pompelmoes_kids
61,1648112842-152,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=9,Arrigo,https://www.faire.com/brand/b_btu6yjez8e?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,no handle found
62,1648112808-19,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=2,Tinne+Mia,https://www.faire.com/brand/b_ckno4fm0h5?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@tinneandmia
63,1648112817-55,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=4,Palais Sustainable Luxury,https://www.faire.com/brand/b_9break3phl?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@Palais
64,1648112804-11,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,,UC Natural,https://www.faire.com/brand/b_pmsg6xsa9j?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@ucnatural
65,1648112851-192,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=11,Rozzey,https://www.faire.com/brand/b_cepdh6g832?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,no handle found
66,1648112866-238,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=14,by Lauren Amsterdam,https://www.faire.com/brand/b_6200rwjzcd?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@bylaurenamsterdam
67,1648112842-153,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=9,PAU,https://www.faire.com/brand/b_kbny5vzgvx?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@pau_design_
68,1648112832-114,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=7,Walljar.com,https://www.faire.com/brand/b_qgz4y8kzyf?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@walljar_official
69,1648112866-242,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=14,Furnitec Systems,https://www.faire.com/brand/b_vstxejk5sa?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,no handle found
70,1648112866-252,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=14,PARK LiFE,https://www.faire.com/brand/b_582s242z7c?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@parklife.dog
71,1648112861-222,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=13,Ibizi Dogs,https://www.faire.com/brand/b_ay5rydfhhd?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,no handle found
72,1648112832-123,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=7,Kalina,https://www.faire.com/brand/b_6ub39bbym4?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@kalinastore.eu
73,1648112828-99,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=6,IKONIC,https://www.faire.com/brand/b_bmv8x5kbxu?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@ikonic__design
74,1648112828-98,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=6,In A Flash,https://www.faire.com/brand/b_24z79uxgkv?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@in_a_flashcard
75,1648112861-218,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=13,SUPP24,https://www.faire.com/brand/b_neb7p383ah?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@supp24_lifestyle
76,1648112847-174,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=10,Mr. Maté,https://www.faire.com/brand/b_4rpmuwzptx?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@mistermate
77,1648112856-209,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=12,P&G Bracelets,https://www.faire.com/brand/b_hbnjh4p9ct?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,no handle found
78,1648112817-72,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=4,Rock your world,https://www.faire.com/brand/b_9p3z55yajz?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@rockyourworld.ryw
79,1648112822-85,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=5,Studio Mabelle,https://www.faire.com/brand/b_s7vaahuyfq?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@studiomabelle.nl
80,1648112822-87,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=5,May21,https://www.faire.com/brand/b_tyezwwjtw6?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@may21.handmadejewelry
81,1648112828-106,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=6,Greatceramics,https://www.faire.com/brand/b_ytwxdmypzh?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@greatceramics
82,1648112804-18,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,,Creative Lab Amsterdam,https://www.faire.com/brand/b_3bfvohqaf6?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,no handle found
83,1648112861-234,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=13,Sweet Sea Desserts,https://www.faire.com/brand/b_cxjmzp5uch?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@sweetsea.desserts
84,1648112813-41,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=3,Mookstories,https://www.faire.com/brand/b_2mmq3c3ikw?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@mook_stories
85,1648112822-88,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=5,Cupplement,https://www.faire.com/brand/b_mny9brx2hy?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@cupplement
86,1648112856-216,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=12,GS Imperial®,https://www.faire.com/brand/b_5up4vzh62b?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@Gsimperial_nl
87,1648112851-186,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=11,Studio Carper,https://www.faire.com/brand/b_dztd5fqup4?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@studio.carper
88,1648112832-118,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=7,ADC Eindhoven,https://www.faire.com/brand/b_e5whn7h7uw?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@adcnlwholesale
89,1648112856-208,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=12,Mashona Collections,https://www.faire.com/brand/b_f7yb9e5dwv?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@mashona_collections
90,1648112828-100,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=6,Waardevol Thuis,https://www.faire.com/brand/b_zwp84xhx4b?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@waardevol_thuis
91,1648112842-145,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=9,Moozle,https://www.faire.com/brand/b_6shzuzy3me?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@moozlehome
92,1648112861-220,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=13,Candle Time,https://www.faire.com/brand/b_qz6senw7bw?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@candletime.nl
93,1648112847-173,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=10,Wanderschoon,https://www.faire.com/brand/b_nmc2vgv44s?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@wanderschoon
94,1648112822-83,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=5,indy & noa,https://www.faire.com/brand/b_bywbq4ccwm?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@indyandnoa
95,1648112832-125,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=7,HappySoaps,https://www.faire.com/brand/b_k6v42vjkxp?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@thehappysoaps
96,1648112822-74,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=5,su.sana superfood,https://www.faire.com/brand/b_5geerdmzzd?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@su.sana.superfood
97,1648112851-185,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=11,Canndle,https://www.faire.com/brand/b_284hd9xfsm?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@canndle_shop
98,1648112822-73,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=5,siemz,https://www.faire.com/brand/b_hmrxwavzqk?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@siemz_com
99,1648112804-4,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,,Royal T-Stick,https://www.faire.com/brand/b_t4pvghhaup?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@coffeeteastick
100,1648112866-237,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=14,Love Ibiza,https://www.faire.com/brand/b_azsy62co16?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@loveibizanl
101,1648112804-13,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,,MYRTE,https://www.faire.com/brand/b_cdiw2mdw?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@lovemyrte
102,1648112851-189,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=11,CAFÉ PAU BRASIL,https://www.faire.com/brand/b_5wfm4utkg6?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@cafe_pau_brasil
103,1648112847-177,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=10,Babongo,https://www.faire.com/brand/b_bv9zmvyzkj?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@babongo
104,1648112832-111,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=7,Anna Pure,https://www.faire.com/brand/b_pa6p923q4p?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@annapure.nl
105,1648112828-103,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=6,BINK Bedding,https://www.faire.com/brand/b_bzjc7gfzgt?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@binkbedding
106,1648112804-9,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,,By Bobbie,https://www.faire.com/brand/b_qb2acsgxgx?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@bybobbie_
107,1648112837-137,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=8,fiid,https://www.faire.com/brand/b_v6t2vq8pm4?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@eatfiid
108,1648112808-30,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=2,MAGIC Bodyfashion,https://www.faire.com/brand/b_4j7c0vqyj0?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@magicbodyfashionbv
109,1648112837-132,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=8,Bibs kids,https://www.faire.com/brand/b_56xmshcqfp?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@www.instagram.com
110,1648112804-17,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,,TOET Store,https://www.faire.com/brand/b_4wesg27app?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@toetstore
111,1648112832-112,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=7,SMPL,https://www.faire.com/brand/b_mg6p96cbp2?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,no handle found
112,1648112851-182,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=11,Babywoods,https://www.faire.com/brand/b_g3j8wkskwy?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@babywoods_wandcommode
113,1648112861-232,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=13,TextTim.nl,https://www.faire.com/brand/b_2v6dk9abj2?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,no handle found
114,1648112861-228,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=13,Happy Trails,https://www.faire.com/brand/b_8ydxzy7jsk?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@my.happytrails
115,1648112828-105,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=6,BaroQco,https://www.faire.com/brand/b_33sw3ss4mk?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@BAROQCOJEWELRY
