,Unnamed: 0,brandName,instagramLinks,instagramFollowers,facebookLinks,facebookFollowers,web-scraper-order,web-scraper-start-url,link,link-href,Unnamed: 0,websites,Unnamed: 0,crm
24,24,Studio Ins & Outs Stationery,https://instagram.com/studioinsenouts_stationery,435,https://facebook.com/studioinsenoutsstationery,4,1648216253-1763,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/studio-ins-outs-stationery,24,www.studioinsenouts-stationery.com,24,U
25,25,STUDIO ÉTOILE,x,x,x,x,1648216253-810,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/etoile-maastricht,25,error loading websitis,25,website could not be loaded
26,26,amey Amsterdam,https://instagram.com/ameyamsterdam,730,x,x,1648216253-1358,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/amey-amsterdam,26,error loading websitis,26,website could not be loaded
27,27,by Lindsay babyfashion,https://instagram.com/@_bylindsay.nl,427,https://facebook.com/bylindsay.nl,67,1648216253-1256,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/by-lindsay-babyfashion,27,error loading websitis,27,website could not be loaded
28,28,Studio Amber Isabel,https://instagram.com/studioamberisabel,3.3 K,x,x,1648216253-1093,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/studio-amber-isabel,28,www.studioamberisabel.com,28,W
29,29,KYWIE,https://instagram.com/kywie_amsterdam,1.1 K,x,x,1648216253-1467,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/kywie,29,www.kywie.com,29,U
30,30,Annet Weelink Design,https://instagram.com/annet_weelink_design,17.0 K,x,x,1648216253-1063,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/annet-weelink-design,30,bit.ly/3ue2yyl,30,S
31,31,Blossom Lane,x,x,x,x,1648216253-640,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/blossom-lane,31,error loading websitis,31,website could not be loaded
32,32,Philley,x,x,x,x,1648216253-659,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/Philley,32,error loading websitis,32,website could not be loaded
33,33,Beewise,https://instagram.com/beewise_amsterdam,3.4 K,x,x,1648216253-1128,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/beewise,33,linktr.ee/beewise,33,S
34,34,AO Originals,https://instagram.com/ao_originals,3.6 K,x,x,1648216253-1210,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/ao-originals,34,linktr.ee/ao_originals,34,S
35,35,SomeTea,https://instagram.com/someteanl,,https://facebook.com/SomeTeaOfficial,587,1648216253-1601,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/sometea,35,linkin.bio/someteanl,35,S
36,36,C&W Jewellery,x,x,x,x,1648216253-585,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/cw-jewellery,36,error loading websitis,36,website could not be loaded
37,37,L'ESPRIT DU SUD,https://instagram.com/lespritdusud.antonia,,https://facebook.com/459158997928227,132,1648216253-974,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/lesprit-du-sud,37,error loading websitis,37,website could not be loaded
38,38,Pikaplant NL/BE,https://instagram.com/pikaplant,9.5 K,x,x,1648216253-1357,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/pikaplant-nl,38,pikaplant.com/psgt,38,W
39,39,La Maddalena - Amsterdam,https://instagram.com/lamaddalenalifestyle,153,https://facebook.com/184514205408326,85,1648216253-506,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/la-maddalena,39,www.lamaddalena.shop,39,U
40,40,ENGEL. celebrate life,https://instagram.com/engelpunt,18.2 K,x,x,1648216253-1922,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/engel-celebrate-life,40,engelpunt.com/blog/een-nieuw-begin,40,W
41,41,BiOBUDDi,https://instagram.com/biobuddi,3.3 K,https://facebook.com/biobuddi,1.8 K,1648216253-1067,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/biobuddi,41,linktr.ee/biobuddi,41,S
42,42,LV-factory,https://instagram.com/lvfactory.nl,10.7 K,https://facebook.com/LVfactorynl,276,1648216253-835,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/lv-factory,42,www.lv-factory.nl,42,W
43,43,Lief&Lotus,https://instagram.com/liefenlotus,299,x,x,1648216253-849,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/limo-products,43,www.liefenlotus.nl,43,U
44,44,Gezinnig,https://instagram.com/gezinnig,3.8 K,https://facebook.com/gezinnig,7.2 K,1648216253-665,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/gezinnig,44,linktr.ee/gezinnig,44,S
45,45,Liefde op papier,https://instagram.com/liefde_op_papier,710,https://facebook.com/liefdeoppapier.nl,124,1648216253-733,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/liefde-op-papier,45,www.liefdeoppapier.nl,45,U
46,46,Primal Essence,https://instagram.com/primalessence,314,x,x,1648216253-551,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/primal-essence,46,primalessence.com,46,S
47,47,Doenya,https://instagram.com/doenya_fashion,64,https://facebook.com/DoenyaFashion,328,1648216253-433,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/doendoe-bv-doenya,47,www.doenya.com,47,S
48,48,Kepri Cotton B.V.,x,x,x,x,1648216253-484,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/kepri-cotton-bv,48,error loading websitis,48,website could not be loaded
49,49,Studio Proud,x,x,x,x,1648216253-1469,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/studio-proud,49,error loading websitis,49,website could not be loaded
50,50,Masa Skincare,https://instagram.com/masa.skincare.official,348,https://facebook.com/masa.skincare.official,140,1648216253-1736,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/masa-skincare,50,www.masaskincare.com,50,W
51,51,Sompex / Villeroy & Boch Lights,https://instagram.com/sompexgmbh,2.5 K,x,x,1648216253-1963,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/sompex,51,www.sompex.de,51,U
52,52,Studio Liefs Linne,https://instagram.com/studio_liefslinne,393,x,x,1648216253-900,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/studio-liefs-linne,52,studioliefslinne.nl/studio-liefs-linne-linkjes,52,W
53,53,L'ESPRIT DU SUD,https://instagram.com/lespritdusud.antonia,,https://facebook.com/459158997928227,132,1648216253-1806,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/lesprit-du-sud,53,error loading websitis,53,website could not be loaded
54,54,Planningwize,https://instagram.com/planningwize.nl,378,x,x,1648216253-630,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/planningwize,54,planningwize.nl/link-in-bio,54,W
55,55,OF THE ISLANDS Home Spa,x,x,x,x,1648216253-818,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/of-the-islands,55,error loading websitis,55,website could not be loaded
56,56,Danibelle,https://instagram.com/danibelle.nl,99,https://facebook.com/dekaartdiejebewaart,15,1648216253-1282,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/danibelle,56,www.danibelle.nl,56,U
57,57,Natural temptation,https://instagram.com/naturaltemptation.eu,2.2 K,https://facebook.com/NaturalTemptation,1.4 K,1648216253-921,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/natural-temptation,57,i-do.bio/register/,57,W
58,58,Miss honeybird,https://instagram.com/misshoneybird,3.2 K,x,x,1648216253-528,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/miss-honeybird,58,linktr.ee/misshoneybird,58,S
59,59,About Coffee & Tea,https://instagram.com/aboutcoffeeandtea,1.3 K,https://facebook.com/AboutCoffeeandTeaNL,211,1648216253-971,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/about-coffee-and-tea,59,www.aboutcoffeeandtea.nl,59,W
60,60,Swiss Pro+,https://instagram.com/swissprobv,4.2 K,x,x,1648216253-1965,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/swiss-pro-holding-bv,60,www.swiss-pro.nl,60,U
61,61,By Javy,https://instagram.com/byjavy.nl,2.2 K,https://facebook.com/byjavy.nl,222,1648216253-969,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/by-javy,61,byjavy.faire.com,61,U
62,62,Kidooz BV,https://instagram.com/kidooznl,21.0 K,https://facebook.com/kidooznl,53.1 K,1648216253-1818,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/kidooz,62,www.kidooz.nl,62,U
63,63,SARAMAH,x,x,x,x,1648216253-1679,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/saramah-bv,63,error loading websitis,63,website could not be loaded
64,64,THALIEN,https://instagram.com/thaliennl,,https://facebook.com/thaliennl,224,1648216253-1496,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/thalien,64,error loading websitis,64,website could not be loaded
65,65,Twentse Damast,x,x,x,x,1648216253-1974,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/twentse-damast,65,error loading websitis,65,website could not be loaded
66,66,Kind Rebel,https://instagram.com/kindrebel_,3.0 K,x,x,1648216253-615,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/kind-rebel,66,msha.ke/kindrebel_,66,U
67,67,Treatments®,x,x,x,x,1648216253-492,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/treatments,67,error loading websitis,67,website could not be loaded
68,68,Fire-Art,x,x,x,x,1648216253-692,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/fire-art,68,error loading websitis,68,website could not be loaded
69,69,Leschi,https://instagram.com/leschi_design,360,https://facebook.com/leschi.design,454,1648216253-929,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/leschi,69,www.leschi.de,69,U
70,70,Royal Doulton,https://instagram.com/royaldoulton,26.9 K,x,x,1648216253-1354,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/royal-doulton,70,bit.ly/2LVV4Mo,70,S
71,71,By Bobbie,https://instagram.com/@bybobbie_,3.1 K,https://facebook.com/bybobbie.nl,2.5 K,1648216253-785,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/by-bobbie,71,error loading websitis,71,website could not be loaded
72,72,Nobleza,https://instagram.com/nobleza_eu,913,https://facebook.com/103853832042040,2.4 K,1648216253-1257,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/aigostar-bv,72,nobleza.eu,72,U
73,73,Le Zen,https://instagram.com/lezeneurope,867,https://facebook.com/lezeneurope,62,1648216253-1694,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/le-zen,73,lezen-europe.com,73,S
74,74,Paperoni,https://instagram.com/paperoni.nl,338,https://facebook.com/paperoni.nl,47,1648216253-1195,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/paperoni,74,www.paperoni.nl,74,S
75,75,il Limone -Italian products-,https://instagram.com/il.limone,267,https://facebook.com/RealItaliantaste,530,1648216253-404,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/il-limone,75,www.il-limone.eu,75,S
76,76,nuud care - fresh armpits worldwide,https://instagram.com/nuud.care,188.5 K,x,x,1648216253-759,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/nuud,76,linktr.ee/nuud,76,S
77,77,By Shir,https://instagram.com/byshiroriginals,4.8 K,x,x,1648216253-1028,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/by-shir,77,www.byshir.com,77,U
78,78,Knoops Decoratietakken,https://instagram.com/decoratietakken,1.7 K,x,x,1648216253-709,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/knoops-decoratietakken-someren,78,www.decoratietakken.nl,78,W
79,79,Goed Houtwerk,x,x,x,x,1648216253-394,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/goed-houtwerk,79,error loading websitis,79,website could not be loaded
80,80,Tall Men Standing,https://instagram.com/tallmenstanding,49,https://facebook.com/tallmenstanding,546,1648216253-1824,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/tall-men-standing-bv,80,www.tallmenstanding.nl,80,W
81,81,Eufrasia Jewels,https://instagram.com/eufrasiajewels,536,https://facebook.com/eufrasiajewels,829,1648216253-403,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/tasimo,81,www.eufrasiajewels.nl,81,W
82,82,Myroundie,https://instagram.com/officialmyroundie,284,https://facebook.com/myroundie,3.1 K,1648216253-1903,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/myroundie,82,www.myroundie.com,82,U
83,83,Peek-a-Beau,https://instagram.com/peek_a_beau_,2.1 K,x,x,1648216253-1124,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/peek-a-beau,83,www.peek-a-beau.nl/haarbandjes/strik-haarbandjes,83,U
84,84,Christmas Inspirations,https://instagram.com/christmas.inspirations.bv,2.3 K,https://facebook.com/ChristmasInspirationsBV,123,1648216253-1549,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/christmas-inspirations,84,www.christmasinspirations.nl,84,U
85,85,BabyFanti,https://instagram.com/babyfanti_,2.6 K,https://facebook.com/BabyFanti.nl,146,1648216253-968,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/babyfanti,85,www.babyfanti.nl,85,U
86,86,Jake Nutritionals B.V.,https://instagram.com/jakefood,5.6 K,https://facebook.com/JakeshakeEU,15.6 K,1648216253-1158,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/jake-nutritionals-bv,86,linktr.ee/jakefood,86,S
87,87,Green Warriors,https://instagram.com/greenwarriorsofficial,28,x,x,1648216253-1071,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/green-warriors,87,green-warriors.nl,87,website could not be loaded
88,88,Wood Sensation,https://instagram.com/wood_sensation,541,x,x,1648216253-614,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/wood-sensation,88,www.woodsensation.com,88,U
89,89,Just Marie Jewellery,https://instagram.com/justmariejewellery,3.2 K,x,x,1648216253-694,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/just-marie-jewellery,89,www.just-marie.nl,89,W
90,90,Studio Soph,https://instagram.com/studiosophh,1.4 K,x,x,1648216253-858,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/studio-soph-art,90,linktr.ee/studiosophh,90,S
