,Unnamed: 0,websites,Unnamed: 0,handles,Unnamed: 0,followers,Unnamed: 0,crm
78,78,www.rockyourworld.nl/product/the-love-deck-pre-order,78,@rockyourworld.ryw,78,20.2k followers,78,W
79,79,www.studiomabelle.nl,79,@studiomabelle.nl,79,569 followers,79,U
80,80,www.may21.nl,80,@may21.handmadejewelry,80,630 followers,80,U
81,81,www.greatbygreet.com/,81,@greatceramics,81,704 followers,81,U
82,82,error loading websitis,82,no handle found,82,error loading followers,82,website could not be loaded
83,83,www.sweetseadesserts.com,83,@sweetsea.desserts,83,434 followers,83,S
84,84,www.mookstories.com,84,@mook_stories,84,"1,568 followers",84,W
85,85,linktr.ee/Cupplement,85,@cupplement,85,"1,934 followers",85,S
86,86,gscollection.nl,86,@Gsimperial_nl,86,46.3k followers,86,S
87,87,linktr.ee/studiocarper,87,@studio.carper,87,817 followers,87,S
88,88,www.adcwebshop.com,88,@adcnlwholesale,88,"9,057 followers",88,website could not be loaded
89,89,www.mashonacollections.com,89,@mashona_collections,89,44 followers,89,S
90,90,www.waardevol-thuis.nl,90,@waardevol_thuis,90,767 followers,90,S
91,91,www.moozlehome.com,91,@moozlehome,91,"5,262 followers",91,S
92,92,www.candletime.nl,92,@candletime.nl,92,"1,276 followers",92,W
93,93,www.wanderschoon.nl,93,@wanderschoon,93,131 followers,93,U
94,94,www.indyandnoa.com,94,@indyandnoa,94,"1,654 followers",94,W
95,95,linkin.bio/thehappysoaps,95,@thehappysoaps,95,26.4k followers,95,S
96,96,www.susanasuperfood.com,96,@su.sana.superfood,96,"1,205 followers",96,W
97,97,error loading websitis,97,@canndle_shop,97,error loading followers,97,website could not be loaded
98,98,www.siemz.com,98,@siemz_com,98,"7,343 followers",98,U
99,99,www.royaltcs.com,99,@coffeeteastick,99,160 followers,99,S
100,100,www.loveibiza.nl,100,@loveibizanl,100,20.7k followers,100,U
101,101,lovemyrte.com/nl/schrijf-je-in-voor-de-download,101,@lovemyrte,101,"6,093 followers",101,W
102,102,www.cafepaubrasil.com,102,@cafe_pau_brasil,102,469 followers,102,U
103,103,www.babongoshop.nl,103,@babongo,103,"1,258 followers",103,U
104,104,gezondedutchies.nl/anti-age,104,@annapure.nl,104,973 followers,104,W
105,105,www.binkbedding.com,105,@binkbedding,105,320 followers,105,W
106,106,www.bybobbie.nl,106,@bybobbie_,106,"3,125 followers",106,U
107,107,linktr.ee/eatfiid,107,@eatfiid,107,"9,653 followers",107,S
108,108,linkin.bio/magicbodyfashionbv,108,@magicbodyfashionbv,108,"7,455 followers",108,S
109,109,error loading websitis,109,@www.instagram.com,109,error loading followers,109,website could not be loaded
110,110,toet.store,110,@toetstore,110,976 followers,110,W
111,111,error loading websitis,111,no handle found,111,error loading followers,111,website could not be loaded
112,112,linkin.bio/babywoods_wandcommode,112,@babywoods_wandcommode,112,"2,682 followers",112,S
113,113,error loading websitis,113,no handle found,113,error loading followers,113,website could not be loaded
114,114,www.my-happytrails.com,114,@my.happytrails,114,63 followers,114,W
115,115,error loading websitis,115,@BAROQCOJEWELRY,115,error loading followers,115,website could not be loaded
116,116,error loading websitis,116,@Jb7810,116,366 followers,116,website could not be loaded
117,117,error loading websitis,117,@www.instagram.com,117,error loading followers,117,website could not be loaded
118,118,error loading websitis,118,@www.instagram.com,118,error loading followers,118,website could not be loaded
